timestamp,cpu_pct,mem_pct,gpu_util_pct,gpu_mem_mb,disk_read_mbs,disk_write_mbs
2026-06-22T11:06:30.332905,17.5,47.0,0.0,9,158.04,0.00
2026-06-22T11:06:31.282190,8.9,47.1,0.0,9,6.28,5.47
2026-06-22T11:06:32.231868,3.2,47.3,0.0,9,0.00,0.00
2026-06-22T11:06:33.189745,4.2,47.4,0.0,9,1.17,0.00
2026-06-22T11:06:34.192234,4.1,47.4,0.0,9,0.01,0.00
2026-06-22T11:06:35.190442,9.6,47.5,0.0,9,0.00,0.00
2026-06-22T11:06:36.190589,2.9,47.5,0.0,9,0.00,0.00
2026-06-22T11:06:37.191766,2.8,47.5,0.0,9,0.00,0.00
2026-06-22T11:06:38.190680,2.5,47.5,0.0,9,0.00,0.00
2026-06-22T11:06:39.191484,3.8,47.3,0.0,9,0.07,0.75
2026-06-22T11:06:40.175061,40.6,47.6,0.0,9,0.08,0.00
2026-06-22T11:06:41.198938,13.1,48.5,0.0,9,0.03,0.00
2026-06-22T11:06:42.203469,8.7,48.6,0.0,9,0.00,0.00
2026-06-22T11:06:43.192449,15.8,48.8,0.0,9,0.00,0.00
2026-06-22T11:06:44.191856,5.1,48.7,0.0,9,0.00,0.00
2026-06-22T11:06:45.191606,18.5,49.1,0.0,9,0.00,0.80
2026-06-22T11:06:46.180579,19.9,49.5,0.0,9,0.00,0.00
2026-06-22T11:06:47.189629,12.4,49.3,0.0,9,0.00,0.08
2026-06-22T11:06:48.190961,15.0,50.0,0.0,9,0.00,0.07
2026-06-22T11:06:49.189249,14.4,49.7,0.0,9,1.04,20.92
2026-06-22T11:06:50.182197,12.9,49.2,0.0,9,0.00,0.84
2026-06-22T11:06:51.188656,9.0,48.9,0.0,9,0.00,0.00
2026-06-22T11:06:52.173446,10.3,48.8,0.0,9,0.00,0.00
2026-06-22T11:06:53.177060,9.5,48.5,0.0,9,0.00,0.00
2026-06-22T11:06:54.177347,9.6,48.5,0.0,9,0.00,0.00
2026-06-22T11:06:55.173331,10.8,48.7,0.0,9,0.00,0.66
2026-06-22T11:06:56.177510,9.2,48.3,0.0,9,0.00,0.00
2026-06-22T11:06:57.179483,8.8,48.2,0.0,9,0.00,0.00
2026-06-22T11:06:58.187692,10.0,48.0,0.0,9,0.00,0.13
2026-06-22T11:06:59.188271,11.5,47.8,0.0,9,15.48,0.00
2026-06-22T11:07:00.173683,11.8,47.7,0.0,9,0.00,0.12
2026-06-22T11:07:01.175092,10.8,47.8,0.0,9,0.00,0.01
2026-06-22T11:07:02.187890,9.3,47.6,0.0,9,1.32,0.00
2026-06-22T11:07:03.189806,9.2,47.6,0.0,9,0.00,0.00
2026-06-22T11:07:04.176016,10.5,47.8,0.0,9,0.00,0.00
2026-06-22T11:07:05.174643,9.4,47.8,0.0,9,0.02,0.32
2026-06-22T11:07:06.174058,12.1,47.8,0.0,9,0.00,0.00
2026-06-22T11:07:07.188333,9.3,47.7,0.0,9,0.00,0.32
2026-06-22T11:07:08.190253,10.0,47.6,0.0,9,0.00,0.00
2026-06-22T11:07:09.174377,9.8,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:10.175923,9.6,47.4,0.0,9,0.03,0.76
2026-06-22T11:07:11.174861,12.5,47.6,0.0,9,0.00,0.02
2026-06-22T11:07:12.187719,9.0,47.4,0.0,9,4.16,0.00
2026-06-22T11:07:13.179495,9.1,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:14.187949,10.0,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:15.188346,9.3,47.3,0.0,9,0.00,0.00
2026-06-22T11:07:16.187111,11.8,47.6,0.0,9,0.00,0.00
2026-06-22T11:07:17.178187,9.5,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:18.177250,9.4,47.5,0.0,9,0.00,0.00
2026-06-22T11:07:19.175571,9.9,47.3,0.0,9,0.00,0.00
2026-06-22T11:07:20.188459,9.2,47.4,0.0,9,4.53,0.00
2026-06-22T11:07:21.189443,12.9,47.6,0.0,9,1.76,11.77
2026-06-22T11:07:22.176697,10.1,47.5,0.0,9,2.34,0.00
2026-06-22T11:07:23.174028,9.6,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:24.187954,9.1,47.5,0.0,9,0.00,0.00
2026-06-22T11:07:25.190335,9.5,47.5,0.0,9,0.00,0.00
2026-06-22T11:07:26.178009,10.3,47.6,0.0,9,0.00,0.00
2026-06-22T11:07:27.188405,10.6,47.7,0.0,9,0.00,0.00
2026-06-22T11:07:28.178953,9.6,47.6,0.0,9,0.00,0.00
2026-06-22T11:07:29.188637,9.1,47.5,0.0,9,0.00,0.00
2026-06-22T11:07:30.189106,10.0,47.6,0.0,9,0.00,0.00
2026-06-22T11:07:31.172993,10.5,47.7,0.0,9,0.00,0.00
2026-06-22T11:07:32.188973,14.1,47.4,0.0,9,0.01,0.00
2026-06-22T11:07:33.176321,10.8,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:34.201336,15.3,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:35.178824,22.8,48.0,0.0,9,0.00,0.00
2026-06-22T11:07:36.174700,17.2,48.1,0.0,9,0.07,0.00
2026-06-22T11:07:37.179307,21.1,48.0,0.0,9,0.02,0.23
2026-06-22T11:07:38.190138,25.8,48.0,0.0,9,0.18,53.67
2026-06-22T11:07:39.176139,29.5,48.5,0.0,9,0.04,0.02
2026-06-22T11:07:40.183891,15.5,48.5,0.0,9,0.00,0.00
2026-06-22T11:07:41.177396,24.0,48.6,0.0,9,0.00,0.73
2026-06-22T11:07:42.189612,16.0,48.5,0.0,9,0.00,0.00
2026-06-22T11:07:43.189515,10.5,48.2,0.0,9,0.00,0.00
2026-06-22T11:07:44.180670,10.6,47.9,0.0,9,0.00,0.00
2026-06-22T11:07:45.189786,11.8,48.1,0.0,9,0.00,0.86
2026-06-22T11:07:46.182880,25.9,48.4,0.0,9,0.00,0.00
2026-06-22T11:07:47.173179,17.1,47.4,0.0,9,0.01,0.00
2026-06-22T11:07:48.173976,16.1,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:49.191095,14.3,47.0,0.0,9,0.00,0.00
2026-06-22T11:07:50.175482,14.3,47.1,0.0,9,0.00,0.62
2026-06-22T11:07:51.175483,14.1,47.3,0.0,9,0.33,8.95
2026-06-22T11:07:52.176313,17.3,48.1,0.0,9,0.00,0.13
2026-06-22T11:07:53.175234,9.7,47.4,0.0,9,0.00,0.00
2026-06-22T11:07:54.190548,9.8,47.7,0.0,9,0.00,0.00
2026-06-22T11:07:55.174396,12.3,46.9,0.0,9,0.00,0.00
2026-06-22T11:07:56.188196,12.7,46.8,0.0,9,0.00,0.00
2026-06-22T11:07:57.175060,10.8,46.9,0.0,9,0.00,0.00
2026-06-22T11:07:58.177323,13.6,46.8,0.0,9,0.00,0.00
2026-06-22T11:07:59.173644,10.8,46.6,0.0,9,0.01,0.46
2026-06-22T11:08:00.191542,14.6,47.0,0.0,9,0.00,0.12
2026-06-22T11:08:01.177201,10.1,47.0,0.0,9,0.00,0.00
2026-06-22T11:08:02.187769,9.6,46.9,0.0,9,0.00,0.00
2026-06-22T11:08:03.188857,12.6,46.9,0.0,9,0.18,0.01
2026-06-22T11:08:04.174987,12.0,46.9,0.0,9,0.12,0.00
2026-06-22T11:08:05.175215,10.0,46.8,0.0,9,0.00,0.00
2026-06-22T11:08:06.177160,9.2,46.7,0.0,9,0.00,0.00
2026-06-22T11:08:07.190685,8.8,46.6,0.0,9,0.00,0.72
2026-06-22T11:08:08.174136,12.9,46.8,0.0,9,0.00,0.14
2026-06-22T11:08:09.179360,9.6,46.7,0.0,9,0.00,0.00
