timestamp,cpu_pct,mem_pct,gpu_util_pct,gpu_mem_mb,disk_read_mbs,disk_write_mbs
2026-06-26T19:49:13.163770,22.3,59.7,2.0,123,91.63,0.00
2026-06-26T19:49:14.128772,60.1,60.8,0.0,123,1.54,1.16
2026-06-26T19:49:15.077832,96.0,61.0,0.0,123,0.00,0.00
2026-06-26T19:49:16.032634,97.9,61.0,0.0,123,1.23,7.29
2026-06-26T19:49:17.014932,72.2,62.2,1.0,129,10.03,0.00
2026-06-26T19:49:18.013791,47.8,62.5,0.0,271,0.16,0.15
2026-06-26T19:49:19.011261,32.3,62.2,0.0,271,0.00,0.00
2026-06-26T19:49:20.015331,29.4,62.3,0.0,271,0.11,0.22
2026-06-26T19:49:21.007113,23.1,62.2,8.0,284,0.01,8.86
2026-06-26T19:49:22.006780,6.8,62.0,6.0,284,1.10,0.00
2026-06-26T19:49:23.007212,4.3,62.0,6.0,284,0.00,0.00
2026-06-26T19:49:24.014510,4.7,62.0,12.0,284,0.00,0.62
2026-06-26T19:49:25.015794,4.3,62.0,25.0,284,0.00,0.00
2026-06-26T19:49:26.016690,6.0,62.2,24.0,284,0.00,0.00
2026-06-26T19:49:27.016637,3.8,62.0,22.0,284,0.00,0.00
2026-06-26T19:49:28.015390,3.6,62.2,23.0,284,0.00,0.00
2026-06-26T19:49:29.013347,4.1,61.9,22.0,284,0.00,0.33
2026-06-26T19:49:30.011619,10.6,62.2,18.0,284,0.07,0.00
2026-06-26T19:49:31.007722,13.1,62.1,12.0,296,0.47,0.00
2026-06-26T19:49:32.007239,4.6,61.9,10.0,296,0.00,0.00
2026-06-26T19:49:33.007739,4.0,61.9,10.0,296,0.00,0.00
2026-06-26T19:49:34.012646,4.4,61.9,17.0,296,0.00,2.47
2026-06-26T19:49:35.012401,12.7,61.9,14.0,296,0.00,0.29
2026-06-26T19:49:36.013126,14.4,62.1,15.0,296,0.00,0.01
2026-06-26T19:49:37.013366,13.3,62.1,11.0,296,0.00,0.00
2026-06-26T19:49:38.014271,13.0,62.0,12.0,296,0.00,0.94
2026-06-26T19:49:39.013869,14.0,62.1,12.0,296,2.20,0.00
2026-06-26T19:49:40.013572,13.3,62.0,15.0,296,0.00,0.34
2026-06-26T19:49:41.015382,14.9,61.9,13.0,296,0.00,0.00
2026-06-26T19:49:42.016360,15.1,62.2,15.0,296,1.85,3.17
2026-06-26T19:49:43.016614,17.4,61.3,15.0,296,1.56,21.38
2026-06-26T19:49:44.012311,15.2,61.7,13.0,296,3.83,0.00
