timestamp,cpu_pct,mem_pct,gpu_util_pct,gpu_mem_mb,disk_read_mbs,disk_write_mbs
2026-06-22T08:42:14.043885,12.9,54.4,0.0,9,152.77,18.30
2026-06-22T08:42:15.029992,4.0,53.8,0.0,9,5.78,5.29
2026-06-22T08:42:16.041989,7.4,54.0,0.0,9,3.16,0.00
2026-06-22T08:42:17.014577,10.6,54.1,0.0,9,0.00,0.00
2026-06-22T08:42:18.018744,11.3,53.9,0.0,9,0.04,0.00
2026-06-22T08:42:19.023256,3.8,53.9,0.0,9,0.00,0.00
2026-06-22T08:42:20.020880,2.5,53.8,0.0,9,0.05,0.00
2026-06-22T08:42:21.019300,2.5,53.7,0.0,9,0.55,0.00
2026-06-22T08:42:22.017571,12.3,53.9,0.0,9,6.07,0.00
2026-06-22T08:42:23.039534,16.6,53.5,0.0,9,0.32,0.17
2026-06-22T08:42:24.034196,13.1,53.6,0.0,9,0.06,1.17
2026-06-22T08:42:25.028613,16.8,53.5,0.0,9,0.11,0.00
2026-06-22T08:42:26.037750,17.0,53.7,0.0,9,4.49,0.60
2026-06-22T08:42:27.035489,15.2,53.7,0.0,9,0.40,0.30
2026-06-22T08:42:28.012237,13.4,53.8,0.0,9,0.00,0.00
2026-06-22T08:42:29.031788,13.3,53.7,0.0,9,0.00,0.07
2026-06-22T08:42:30.011788,15.3,53.6,0.0,9,0.02,0.31
2026-06-22T08:42:31.024214,14.9,53.6,0.0,9,6.06,1.11
2026-06-22T08:42:32.014035,13.6,53.7,0.0,9,0.05,0.02
2026-06-22T08:42:33.043286,14.4,53.5,0.0,9,0.03,0.00
2026-06-22T08:42:34.017551,13.2,53.4,0.0,9,0.02,0.00
2026-06-22T08:42:35.022838,12.5,53.5,0.0,9,0.05,0.11
2026-06-22T08:42:36.015804,7.8,53.5,0.0,9,0.43,4.57
2026-06-22T08:42:37.016798,6.9,53.5,0.0,9,0.61,8.36
2026-06-22T08:42:38.017010,8.7,53.5,0.0,9,0.00,0.00
